DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL,LEITOS,PRESSAO_BAIRRO,FL_PERIFERIA,IDADE MÉDIA AO MORRER_x,PROPORÇÃO ADOLESCENTE GRÁVIDAS(%),TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN),TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS),IDADE MÉDIA AO MORRER_y,DOMICÍLIOS EM FAVELAS (%),POPULAÇÃO PRETA E PARDA (%)_x,POPULAÇÃO PRETA E PARDA (%)_y
BELA VISTA,60024,60024,São Paulo,Zona Central,[NaN],19175,5677,3106,1118,130,19131,6207,3634,1579,263,29207,30816,60024,151.0,397.50993377483445,0,73.9,5.8,30.0,29.0,73.9,0.0,21.6,21.6
LIBERDADE,66056,66056,São Paulo,Zona Central,[NaN],21101,6247,3418,1230,143,21053,6831,4000,1737,290,32142,33913,66056,193.0,342.25906735751295,0,73.6,4.1,33.0,35.0,73.6,0.3,17.9,17.9
SANTO AMARO,85349,85349,São Paulo,Zona Sul,[NaN],27265,8072,4417,1589,185,27203,8826,5168,2245,375,41530,43818,85349,252.0,338.68650793650795,0,78.2,1.5,29.0,26.0,78.2,0.2,10.3,10.3
MORUMBI,43690,43690,São Paulo,Zona Sul,[NaN],13957,4132,2261,813,95,13925,4518,2645,1149,192,21259,22430,43690,144.0,303.40277777777777,0,71.9,8.8,35.0,3.0,71.9,14.6,19.5,19.5
MOEMA,81899,81899,São Paulo,Zona Sul,[NaN],26163,7746,4238,1525,178,26103,8469,4959,2154,360,39851,42047,81899,309.0,265.0453074433657,0,79.8,0.4,31.0,23.0,79.8,0.0,5.8,5.8
PARI,17359,17359,São Paulo,Zona Central,"[""OLARIAS,DAS,R,503"", ""HAHNEMANN,R,234""]",5545,1641,898,323,37,5532,1795,1051,456,76,8446,8912,17359,66.0,263.0151515151515,0,66.1,11.9,27.0,14.0,67.1,2.0,35.8,35.8
SANTANA,115689,115689,São Paulo,Zona Norte,[NaN],36957,10941,5987,2155,251,36873,11964,7005,3043,508,56293,59395,115689,462.0,250.4090909090909,0,74.8,2.3,33.0,37.0,74.8,0.2,14.5,14.5
JARDIM PAULISTA,81859,81859,São Paulo,Zona Sul,[NaN],26150,7742,4236,1524,178,26090,8465,4957,2153,360,39831,42027,81859,371.0,220.64420485175202,0,80.0,1.3,32.0,,80.0,0.0,8.5,8.5
JARDIM PAULISTA,81859,81859,São Paulo,Zona Sul,[NaN],26150,7742,4236,1524,178,26090,8465,4957,2153,360,39831,42027,81859,452.0,181.10398230088495,0,80.0,1.3,32.0,,80.0,0.0,8.5,8.5
VILA MARIANA,127286,127286,São Paulo,Zona Sul,[NaN],40662,12038,6587,2371,276,40569,13163,7707,3348,559,61936,65349,127286,753.0,169.03851261620187,0,78.3,1.7,31.0,14.0,78.3,0.8,8.7,8.7
JARDIM PAULISTA,81859,81859,São Paulo,Zona Sul,[NaN],26150,7742,4236,1524,178,26090,8465,4957,2153,360,39831,42027,81859,544.0,150.47610294117646,0,80.0,1.3,32.0,,80.0,0.0,8.5,8.5
PARQUE DO CARMO,74677,74677,São Paulo,Zona Leste,"[""CACHOEIRA DA ILHA,R,71"", ""SANTA MARCELINA,R,177"", ""PONTA DE LUCENA,R,330"", ""CARMEM CARDOSO BORDINI,R,184"", ""VERISSIMO DA SILVA,R,135"", ""CACHOEIRA DA ILHA,R,355"", ""MALMEQUER DO CAMPO,R, 214""]",23856,7062,3864,1391,162,23801,7723,4522,1964,328,36337,38339,74677,612.0,122.02124183006536,0,63.8,8.3,49.0,19.0,63.8,16.4,40.7,40.7
BELA VISTA,60024,60024,São Paulo,Zona Central,[NaN],19175,5677,3106,1118,130,19131,6207,3634,1579,263,29207,30816,60024,578.0,103.8477508650519,0,73.9,5.8,30.0,29.0,73.9,0.0,21.6,21.6
JARDIM PAULISTA,81859,81859,São Paulo,Zona Sul,[NaN],26150,7742,4236,1524,178,26090,8465,4957,2153,360,39831,42027,81859,1506.0,54.355245683930946,0,80.0,1.3,32.0,,80.0,0.0,8.5,8.5
ALTO DE PINHEIROS,37359,37359,São Paulo,Zona Oeste,[NaN],11934,3533,1933,695,81,11907,3863,2262,982,164,18178,19180,37359,,,0,79.4,1.1,31.0,,79.4,0.0,8.1,8.1
ANHANGUERA,75360,75061,São Paulo,Zona Oeste,[NaN],24074,7127,3900,1403,163,24019,7793,4563,1982,331,36669,38690,75360,,,0,61.5,8.4,58.0,14.0,61.5,,50.3,50.3
ARICANDUVA,89574,89574,São Paulo,Zona Leste,"[""JOAO DE OLIVEIRA MELLO,CEL,R,440"", ""MIGUEL BASTOS SOARES,R,365"", ""EDGAR MAGALHAES NORONHA,DR,R,200""]",28614,8471,4635,1668,194,28549,9263,5424,2356,393,43586,45987,89574,,,0,69.3,7.7,42.0,27.0,69.3,1.1,27.5,27.5
