codibge;ano;sexo;Idade;obito
3503208;2024;Homens;Idade Ignorada;0
3503307;2024;Homens;00 a 04;14
3503307;2024;Homens;05 a 09;1
3503307;2024;Homens;10 a 14;1
3503307;2024;Homens;15 a 19;6
3503307;2024;Homens;20 a 24;5
3503307;2024;Homens;25 a 29;6
3503307;2024;Homens;30 a 34;8
3503307;2024;Homens;35 a 39;10
3503307;2024;Homens;40 a 44;17
3503307;2024;Homens;45 a 49;25
3503307;2024;Homens;50 a 54;29
3503307;2024;Homens;55 a 59;36
3503307;2024;Homens;60 a 64;38
3503307;2024;Homens;65 a 69;76
3503307;2024;Homens;70 a 74;74
3503307;2024;Homens;75 a 79;52
3503307;2024;Homens;80 a 84;72
3503307;2024;Homens;85 a 89;41
3503307;2024;Homens;90 e mais;34
3503307;2024;Homens;Idade Ignorada;0
3503356;2024;Homens;00 a 04;0
3503356;2024;Homens;05 a 09;0
3503356;2024;Homens;10 a 14;0
3503356;2024;Homens;15 a 19;0
3503356;2024;Homens;20 a 24;0
3503356;2024;Homens;25 a 29;0
3503356;2024;Homens;30 a 34;0
3503356;2024;Homens;35 a 39;0
3503356;2024;Homens;40 a 44;1
3503356;2024;Homens;45 a 49;0
3503356;2024;Homens;50 a 54;0
3503356;2024;Homens;55 a 59;0
3503356;2024;Homens;60 a 64;1
3503356;2024;Homens;65 a 69;3
3503356;2024;Homens;70 a 74;0
3503356;2024;Homens;75 a 79;0
3503356;2024;Homens;80 a 84;1
3503356;2024;Homens;85 a 89;0
3503356;2024;Homens;90 e mais;2
3503356;2024;Homens;Idade Ignorada;0
3503406;2024;Homens;00 a 04;2
3503406;2024;Homens;05 a 09;0
3503406;2024;Homens;10 a 14;1
3503406;2024;Homens;15 a 19;0
3503406;2024;Homens;20 a 24;2
3503406;2024;Homens;25 a 29;1
3503406;2024;Homens;30 a 34;2
3503406;2024;Homens;35 a 39;0
3503406;2024;Homens;40 a 44;0
3503406;2024;Homens;45 a 49;2
3503406;2024;Homens;50 a 54;0
3503406;2024;Homens;55 a 59;0
3503406;2024;Homens;60 a 64;4
3503406;2024;Homens;65 a 69;5
3503406;2024;Homens;70 a 74;12
3503406;2024;Homens;75 a 79;7
3503406;2024;Homens;80 a 84;7
